姓名,队伍,国籍,年龄,游戏内位置
Jimpphat,MOUZ,Finland,19,Support
flameZ,Team Vitality,Israel,22,Rifler
mezii,Team Vitality,United Kingdom,27,Rifler
jottAAA,Aurora Gaming,Turkey,23,Rifler
iM,Natus Vincere,Romania,26,Rifler
w0nderful,Natus Vincere,Ukraine,21,AWPer
kyxsan,Team Falcons,North Macedonia,25,Rifler
Maka,3DMAX,France,28,AWPer
Staehr,Astralis,Denmark,21,Rifler
FL4MUS,Free Agent,Russia,21,Rifler
fame,Virtus.pro,Russia,22,Rifler
ICY,Virtus.pro,Kazakhstan,20,AWPer
ultimate,Team Liquid,Poland,22,AWPer
snow,paiN Gaming,Brazil,18,Support
nqz,paiN Gaming,Brazil,20,AWPer
Tauson,GamerLegion,Denmark,20,Rifler
sl3nd,GamerLegion,Hungary Romania,21,AWPer
PR,GamerLegion,Czechia,18,Rifler
story,SAW,Portugal,23,AWPer
skullz,Imperial Esports,Brazil,23,Rifler
exit,MIBR,Brazil,29,Rifler
Lucaozy,Fluxo,Brazil,24,Rifler
brnz4n,MIBR,Brazil,22,Rifler
insani,MIBR,Brazil,21,Support
phzy,9INE,Sweden,23,AWPer
JBa,Wildcard,United States,21,Rifler
LNZ,HEROIC,Sweden,23,Rifler
JDC,BIG,Germany Portugal,25,Support
fear,Fnatic,Ukraine,25,Rifler
somebody,Free Agent,China,30,Rifler
CYPHER,Free Agent,United Kingdom,23,Rifler
jkaem,BC.Game Esports,Norway,31,Rifler
kaze,Rare Atom,Malaysia,31,AWPer
ChildKing,Rare Atom,China,25,Rifler
L1haNg,Rare Atom,China,22,Rifler
Attacker,TYLOO,China,28,Rifler
JamYoung,TYLOO,China,24,Rifler
Jee,TYLOO,China,21,AWPer
Mercury,TYLOO,China,25,Rifler
Moseyuh,TYLOO,China,21,Rifler
Westmelon,Lynn Vision Gaming,China,24,Rifler
z4kr,Lynn Vision Gaming,China,23,Rifler
EmiliaQAQ,Lynn Vision Gaming,China,21,Rifler
C4LLM3SU3,Lynn Vision Gaming,China,21,Rifler
xertioN,MOUZ,Israel,21,Rifler
